cpa,yr_id,name,population,,,
,2020,Under 5,77432,,,https://opendata.sandag.org/Census/2020-Census-Population-by-Age-by-Community-Plannin/8ntt-6y6t/data_preview
,2020,5 to 9,88088,,,
,2020,10 to 14,94849,,,
,2020,15 to 17,56839,,,
,2020,18 and 19,36456,,,
,2020,20 to 24,95038,,,
,2020,25 to 29,96119,,,
,2020,30 to 34,96377,,,
,2020,35 to 39,97045,,,
,2020,40 to 44,90618,,,
,2020,45 to 49,88753,,,
,2020,50 to 54,88587,,,
,2020,55 to 59,90244,,,
,2020,60 and 61,35463,,,
,2020,62 to 64,49108,,,
,2020,65 to 69,69814,,,
,2020,70 to 74,55396,,,
,2020,75 to 79,35989,,,
,2020,80 to 84,24317,,,
,2020,85 and Older,28352,,,
32nd Street Naval Station,2020,Under 5,7,,,
32nd Street Naval Station,2020,5 to 9,7,,,
32nd Street Naval Station,2020,10 to 14,4,,,
32nd Street Naval Station,2020,15 to 17,20,,,
32nd Street Naval Station,2020,18 and 19,780,,,
32nd Street Naval Station,2020,20 to 24,3024,,,
32nd Street Naval Station,2020,25 to 29,1068,,,
32nd Street Naval Station,2020,30 to 34,471,,,
32nd Street Naval Station,2020,35 to 39,248,,,
32nd Street Naval Station,2020,40 to 44,99,,,
32nd Street Naval Station,2020,45 to 49,43,,,
32nd Street Naval Station,2020,50 to 54,10,,,
32nd Street Naval Station,2020,55 to 59,3,,,
32nd Street Naval Station,2020,60 and 61,0,,,
32nd Street Naval Station,2020,62 to 64,2,,,
32nd Street Naval Station,2020,65 to 69,0,,,
32nd Street Naval Station,2020,70 to 74,0,,,
32nd Street Naval Station,2020,75 to 79,0,,,
32nd Street Naval Station,2020,80 to 84,0,,,
32nd Street Naval Station,2020,85 and Older,0,,,
Alpine,2020,Under 5,962,,,
Alpine,2020,5 to 9,1131,,,
Alpine,2020,10 to 14,1148,,,
Alpine,2020,15 to 17,654,,,
Alpine,2020,18 and 19,410,,,
Alpine,2020,20 to 24,912,,,
Alpine,2020,25 to 29,906,,,
Alpine,2020,30 to 34,1096,,,
Alpine,2020,35 to 39,1142,,,
Alpine,2020,40 to 44,1031,,,
Alpine,2020,45 to 49,1105,,,
Alpine,2020,50 to 54,1190,,,
Alpine,2020,55 to 59,1431,,,
Alpine,2020,60 and 61,624,,,
Alpine,2020,62 to 64,876,,,
Alpine,2020,65 to 69,1150,,,
Alpine,2020,70 to 74,1009,,,
Alpine,2020,75 to 79,677,,,
Alpine,2020,80 to 84,340,,,
Alpine,2020,85 and Older,309,,,
Balboa Park,2020,Under 5,32,,,
Balboa Park,2020,5 to 9,12,,,
Balboa Park,2020,10 to 14,12,,,
Balboa Park,2020,15 to 17,12,,,
Balboa Park,2020,18 and 19,65,,,
Balboa Park,2020,20 to 24,247,,,
Balboa Park,2020,25 to 29,79,,,
Balboa Park,2020,30 to 34,25,,,
Balboa Park,2020,35 to 39,34,,,
Balboa Park,2020,40 to 44,12,,,
Balboa Park,2020,45 to 49,10,,,
Balboa Park,2020,50 to 54,8,,,
Balboa Park,2020,55 to 59,33,,,
Balboa Park,2020,60 and 61,9,,,
Balboa Park,2020,62 to 64,10,,,
Balboa Park,2020,65 to 69,8,,,
Balboa Park,2020,70 to 74,0,,,
Balboa Park,2020,75 to 79,4,,,
Balboa Park,2020,80 to 84,2,,,
Balboa Park,2020,85 and Older,0,,,
Barona,2020,Under 5,44,,,
Barona,2020,5 to 9,61,,,
Barona,2020,10 to 14,79,,,
Barona,2020,15 to 17,58,,,
Barona,2020,18 and 19,20,,,
Barona,2020,20 to 24,51,,,
Barona,2020,25 to 29,45,,,
Barona,2020,30 to 34,44,,,
Barona,2020,35 to 39,47,,,
Barona,2020,40 to 44,63,,,
Barona,2020,45 to 49,48,,,
Barona,2020,50 to 54,44,,,
Barona,2020,55 to 59,45,,,
Barona,2020,60 and 61,21,,,
Barona,2020,62 to 64,21,,,
Barona,2020,65 to 69,35,,,
Barona,2020,70 to 74,14,,,
Barona,2020,75 to 79,8,,,
Barona,2020,80 to 84,7,,,
Barona,2020,85 and Older,7,,,
Barrio Logan,2020,Under 5,225,,,
Barrio Logan,2020,5 to 9,300,,,
Barrio Logan,2020,10 to 14,370,,,
Barrio Logan,2020,15 to 17,233,,,
Barrio Logan,2020,18 and 19,162,,,
Barrio Logan,2020,20 to 24,372,,,
Barrio Logan,2020,25 to 29,363,,,
Barrio Logan,2020,30 to 34,368,,,
Barrio Logan,2020,35 to 39,340,,,
Barrio Logan,2020,40 to 44,266,,,
Barrio Logan,2020,45 to 49,231,,,
Barrio Logan,2020,50 to 54,243,,,
Barrio Logan,2020,55 to 59,190,,,
Barrio Logan,2020,60 and 61,75,,,
Barrio Logan,2020,62 to 64,84,,,
Barrio Logan,2020,65 to 69,124,,,
Barrio Logan,2020,70 to 74,112,,,
Barrio Logan,2020,75 to 79,55,,,
Barrio Logan,2020,80 to 84,34,,,
Barrio Logan,2020,85 and Older,36,,,
Black Mountain Ranch,2020,Under 5,1130,,,
Black Mountain Ranch,2020,5 to 9,1635,,,
Black Mountain Ranch,2020,10 to 14,1632,,,
Black Mountain Ranch,2020,15 to 17,914,,,
Black Mountain Ranch,2020,18 and 19,338,,,
Black Mountain Ranch,2020,20 to 24,546,,,
Black Mountain Ranch,2020,25 to 29,362,,,
Black Mountain Ranch,2020,30 to 34,665,,,
Black Mountain Ranch,2020,35 to 39,1221,,,
Black Mountain Ranch,2020,40 to 44,1653,,,
Black Mountain Ranch,2020,45 to 49,1489,,,
